Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1,1,8,2021-07-23--2021-07-30,Beggin',48633449.0,Måneskin,3377762.0,3Wrjm47oTz2sjIgck11l5e,"['indie rock italiano', 'italian pop']",2017-12-08,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",100.0,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560.0,0.589,B
2,2,3,2021-07-23--2021-07-30,STAY (with Justin Bieber),47248719.0,The Kid LAROI,2230022.0,5HCyWlXZPP0y6Gqq8TgA20,['australian hip hop'],2021-07-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",99.0,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806.0,0.478,C#/Db
3,1,11,2021-06-25--2021-07-02,good 4 u,40162559.0,Olivia Rodrigo,6266514.0,4ZtFanR9U6ndgddUvNcjcG,['pop'],2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21",99.0,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147.0,0.688,A
4,3,5,2021-07-02--2021-07-09,Bad Habits,37799456.0,Ed Sheeran,83293380.0,6PQ88X9TkUIAUIZJHW2upE,"['pop', 'uk pop']",2021-06-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98.0,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041.0,0.591,B
5,5,1,2021-07-23--2021-07-30,INDUSTRY BABY (feat. Jack Harlow),33948454.0,Lil Nas X,5473565.0,27NovPIUIRrOZoCHxABJwK,"['lgbtq+ hip hop', 'pop rap']",2021-07-23,2021-07-23--2021-07-30,96.0,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000.0,0.894,D#/Eb
6,1,18,2021-05-07--2021-05-14,MONTERO (Call Me By Your Name),30071134.0,Lil Nas X,5473565.0,67BtfxlNbhBmCDR2L2l8qd,"['lgbtq+ hip hop', 'pop rap']",2021-03-31,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02",97.0,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876.0,0.758,G#/Ab
7,3,16,2021-05-14--2021-05-21,Kiss Me More (feat. SZA),29356736.0,Doja Cat,8640063.0,748mdHapucXQri7IAO8yFK,"['dance pop', 'pop']",2021-04-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16",94.0,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867.0,0.742,G#/Ab
8,2,10,2021-06-18--2021-06-25,Todo De Ti,26951613.0,Rauw Alejandro,6080597.0,4fSIb4hdOQ151TILNsSEaF,"['puerto rican pop', 'trap latino']",2021-05-20,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.0,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604.0,0.342,D#/Eb
9,3,8,2021-06-18--2021-06-25,Yonaguni,25030128.0,Bad Bunny,36142273.0,2JPLbjOn0wPCngEot2STUS,"['latin', 'reggaeton', 'trap latino']",2021-06-04,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",96.0,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710.0,0.44,C#/Db
10,8,10,2021-07-02--2021-07-09,I WANNA BE YOUR SLAVE,24551591.0,Måneskin,3377762.0,4pt5fDVTg5GhEvEtlz9dKk,"['indie rock italiano', 'italian pop']",2021-03-19,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.0,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347.0,0.958,C#/Db
11,4,43,2021-05-07--2021-05-14,Levitating (feat. DaBaby),23518010.0,Dua Lipa,27142474.0,463CkQjx2Zk1yXoBuierM9,"['dance pop', 'pop', 'uk pop']",2020-10-01,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09",89.0,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064.0,0.915,F#/Gb
12,9,9,2021-07-02--2021-07-09,Qué Más Pues?,22405111.0,"J Balvin, Maria Becerra",29051363.0,6hf0RpxTbOprT5nnwzkk8e,"['latin', 'reggaeton', 'reggaeton colombiano']",2021-05-28,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04",95.0,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,217773.0,0.768,G#/Ab
13,5,3,2021-07-09--2021-07-16,Permission to Dance,22062812.0,BTS,37106176.0,0LThjFY2iTtNdd4wviwVV2,"['k-pop', 'k-pop boy group']",2021-07-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",95.0,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,187585.0,0.646,A
14,1,19,2021-04-02--2021-04-09,Peaches (feat. Daniel Caesar & Giveon),20294457.0,Justin Bieber,48504126.0,4iJyoBOLtHqaGxP12qzhQI,"['canadian pop', 'pop', 'post-teen pop']",2021-03-19,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26",94.0,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082.0,0.464,C
15,2,10,2021-05-21--2021-05-28,Butter,19985713.0,BTS,37106176.0,2bgTY4UwhfBYhGT4HUYStN,"['k-pop', 'k-pop boy group']",2021-06-04,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.0,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,164442.0,0.695,G#/Ab
16,7,10,2021-05-21--2021-05-28,traitor,19480679.0,Olivia Rodrigo,6266514.0,5CZ40GBx1sQ9agT82CLQCT,['pop'],2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",94.0,0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,229227.0,0.0849,D#/Eb
17,3,17,2021-05-21--2021-05-28,deja vu,18571755.0,Olivia Rodrigo,6266514.0,6HU7h9RYOaPRFeh0R3UeAr,['pop'],2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09",93.0,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,215507.0,0.178,D
18,5,14,2021-04-23--2021-04-30,Save Your Tears (with Ariana Grande) (Remix),18053141.0,The Weeknd,35305637.0,37BZB0z9T8Xu7U3e65qxFy,"['canadian contemporary r&b', 'canadian pop', 'pop']",2021-04-23,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30",94.0,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014.0,0.593,C
19,14,5,2021-07-02--2021-07-09,AM Remix,17617965.0,"Nio Garcia, J Balvin, Bad Bunny",2123734.0,05bfbizlM5AX6Mf1RRyMho,"['latin', 'reggaeton', 'trap latino']",2021-06-24,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",93.0,0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,261335.0,0.785,F#/Gb
20,20,7,2021-07-23--2021-07-30,Need To Know,16908917.0,Doja Cat,8640063.0,3Vi5XqYrmQgOYBajMWSvCi,"['dance pop', 'pop']",2021-06-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18",90.0,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,210560.0,0.194,C#/Db
21,19,3,2021-07-16--2021-07-23,Volando - Remix,16606925.0,"Mora, Bad Bunny, Sech",151486.0,0G2zPzWqVjR68iNPmx2TBe,"['reggaeton', 'trap latino']",2021-07-08,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",91.0,0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,273474.0,0.632,F#/Gb
22,22,5,2021-07-23--2021-07-30,Ain't Shit,16126897.0,Doja Cat,8640063.0,5lAnYvAIkSDNXqfo7DyFUm,"['dance pop', 'pop']",2021-06-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",90.0,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,174253.0,0.619,D#/Eb
23,1,29,2021-03-12--2021-03-19,drivers license,15684978.0,Olivia Rodrigo,6266514.0,5wANPM4fQCJwkGd4rN57mH,['pop'],2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15",92.0,0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,242013.0,0.137,A#/Bb
24,24,31,2021-07-23--2021-07-30,Heat Waves,15089184.0,Glass Animals,1890510.0,3USxtqRwSYz57Ewm6wWRMp,"['gauze pop', 'indietronica', 'shiver pop']",2020-08-07,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01",85.0,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,238805.0,0.531,B
25,1,83,2020-06-12--2020-06-19,Blinding Lights,15011809.0,The Weeknd,35305637.0,0VjIjW4GlUZAMYd2vXMi3b,"['canadian contemporary r&b', 'canadian pop', 'pop']",2020-03-20,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",92.0,0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,200040.0,0.334,C#/Db
26,12,10,2021-05-21--2021-05-28,happier,14849078.0,Olivia Rodrigo,6266514.0,2tGvwE8GcFKwNdAXMnlbfl,['pop'],2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",92.0,0.395,0.443,-9.72,0.133,0.765,0.0839,168.924,175933.0,0.338,F#/Gb
27,27,3,2021-07-23--2021-07-30,Pepas,14809458.0,Farruko,10502148.0,5fwSHlTEWpluwOM0Sxnh5k,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",2021-06-24,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",92.0,0.762,0.766,-3.955,0.0343,0.00776,0.128,130.001,287120.0,0.442,G
28,18,3,2021-07-09--2021-07-16,Motley Crew,14329162.0,Post Malone,33651775.0,40uMIn2zJLAQhNXghRjBed,"['dfw rap', 'melodic rap', 'rap']",2021-07-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",90.0,0.797,0.631,-3.818,0.0786,0.0904,0.0998,129.915,184213.0,0.288,D#/Eb
29,15,23,2021-05-07--2021-05-14,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,14273637.0,"Riton, Nightcrawlers",83689.0,4cG7HUWYHBV6R6tHn1gxrl,"['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']",2021-01-15,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26",92.0,0.824,0.862,-3.424,0.126,0.0076,0.303,122.98,169153.0,0.801,D
30,3,28,2021-04-02--2021-04-09,Astronaut In The Ocean,14174752.0,Masked Wolf,365975.0,3Ofmpyhv5UAQ70mENzB277,['australian hip hop'],2021-01-06,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22",89.0,0.778,0.695,-6.865,0.0913,0.175,0.15,149.996,132780.0,0.472,E
31,5,21,2021-04-09--2021-04-16,Leave The Door Open,13963568.0,"Bruno Mars, Anderson .Paak, Silk Sonic",32574754.0,7MAibcTli4IisCtbHKrGMh,"['dance pop', 'pop', 'post-teen pop']",2021-03-05,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12",92.0,0.586,0.616,-7.964,0.0324,0.182,0.0927,148.088,242096.0,0.719,F
32,32,1,2021-07-23--2021-07-30,Don't Go Yet,13205250.0,Camila Cabello,22683756.0,1058fW9H3fZA6QjYCdOBad,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2021-07-23,2021-07-23--2021-07-30,88.0,0.666,0.796,-6.967,0.103,0.0492,0.0442,110.108,164842.0,0.61,A#/Bb
33,11,10,2021-05-28--2021-06-04,favorite crime,12818935.0,Olivia Rodrigo,6266514.0,5JCoSi02qi3jJeHdZXMmR8,['pop'],2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",91.0,0.369,0.272,-10.497,0.0364,0.866,0.147,172.929,152667.0,0.218,A
34,10,15,2021-05-07--2021-05-14,Pareja Del Año,12572307.0,"Sebastian Yatra, Myke Towers",16216789.0,2rCbl9naJYhaxjLsfx88uM,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano']",2021-04-16,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23",91.0,0.715,0.622,-5.102,0.046,0.163,0.0948,80.015,195053.0,0.808,E
35,4,83,2020-07-31--2020-08-07,Watermelon Sugar,11996689.0,Harry Styles,16112621.0,6UelLqGlWMcVH1E5c4H7lY,"['pop', 'post-teen pop']",2019-12-13,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",90.0,0.548,0.816,-4.209,0.0465,0.122,0.335,95.39,174000.0,0.557,C
36,36,1,2021-07-23--2021-07-30,NOT SOBER (feat. Polo G & Stunna Gambino),11869336.0,The Kid LAROI,,,,,2021-07-23--2021-07-30,,,,,,,,,,,
37,3,16,2021-04-16--2021-04-23,RAPSTAR,11683383.0,Polo G,4840346.0,43PGPuHIlVOc04jrZVh9L6,['chicago rap'],2021-04-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16",89.0,0.789,0.536,-6.862,0.242,0.41,0.129,81.039,165926.0,0.437,F#/Gb
38,15,5,2021-06-25--2021-07-02,You Right,11629418.0,"Doja Cat, The Weeknd",8640063.0,0k4d5YPDr1r7FX77VdqWez,"['dance pop', 'pop']",2021-06-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",89.0,0.828,0.621,-6.414,0.0565,0.0164,0.0845,128.986,186173.0,0.436,G#/Ab
